,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season17_18
213,2017.0,Brandon Knight,SG,25.0,PHO,54.0,5.0,21.11111111111111,12.3,0.502,0.265,0.293,2.3,9.1,5.6,17.8,1.1,0.4,13.1,25.0,,0.1,0.2,0.3,0.013000000000000001,,-1.5,-3.0,-4.5,-0.7,3.8703703703703702,9.722222222222221,0.39799999999999996,0.8333333333333334,2.574074074074074,0.324,3.037037037037037,7.148148148148148,0.425,0.441,2.4444444444444446,2.8518518518518516,0.857,0.46296296296296297,1.7222222222222223,2.185185185185185,2.4074074074074074,0.5,0.09259259259259259,1.6481481481481481,1.6111111111111112,11.018518518518519,13618750.0
214,2017.0,Kyle Korver,SG,35.0,TOT,67.0,22.0,26.16417910447761,12.1,0.635,0.6970000000000001,0.08199999999999999,0.5,11.0,5.9,9.4,1.0,1.0,11.5,15.2,,2.3,1.3,3.7,0.10099999999999999,,0.8,-1.0,-0.2,0.8,3.5671641791044775,7.686567164179104,0.46399999999999997,2.417910447761194,5.358208955223881,0.451,1.1492537313432836,2.328358208955224,0.494,0.621,0.5671641791044776,0.6268656716417911,0.905,0.11940298507462686,2.671641791044776,2.791044776119403,1.6417910447761195,0.5074626865671642,0.31343283582089554,1.0298507462686568,1.5970149253731343,10.119402985074627,7000000.0
215,2017.0,Kosta Koufos,C,27.0,SAC,71.0,62.0,19.985915492957748,13.8,0.56,0.003,0.158,9.7,22.9,16.4,5.3,1.3,3.1,12.7,15.3,,1.2,1.4,2.6,0.08900000000000001,,-2.6,0.7,-1.9,0.0,3.0422535211267605,5.52112676056338,0.551,0.0,0.014084507042253521,0.0,3.0422535211267605,5.507042253521127,0.552,0.551,0.5352112676056338,0.8732394366197183,0.613,1.6619718309859155,4.014084507042254,5.676056338028169,0.6619718309859155,0.5070422535211268,0.676056338028169,0.8591549295774648,2.4225352112676055,6.619718309859155,8393000.0
216,2017.0,Mindaugas Kuzminskas,SF,27.0,NYK,68.0,5.0,14.941176470588236,12.4,0.5329999999999999,0.455,0.184,5.0,8.4,6.7,10.3,1.4,0.9,11.3,19.2,,0.8,0.4,1.2,0.055,,-0.2,-2.5,-2.7,-0.2,2.323529411764706,5.426470588235294,0.428,0.7941176470588235,2.4705882352941178,0.321,1.5294117647058822,2.9558823529411766,0.517,0.501,0.8088235294117647,1.0,0.809,0.6911764705882353,1.161764705882353,1.8529411764705883,1.0147058823529411,0.4264705882352941,0.16176470588235295,0.75,1.161764705882353,6.25,3025035.0
217,2017.0,Skal Labissiere,PF,20.0,SAC,33.0,12.0,18.545454545454547,16.8,0.5770000000000001,0.037000000000000005,0.33899999999999997,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,,0.7,0.5,1.3,0.099,,-1.7,-0.9,-2.6,-0.1,3.5454545454545454,6.606060606060606,0.537,0.09090909090909091,0.24242424242424243,0.375,3.4545454545454546,6.363636363636363,0.5429999999999999,0.544,1.5757575757575757,2.242424242424242,0.703,1.5454545454545454,3.3636363636363638,4.909090909090909,0.8181818181818182,0.48484848484848486,0.3939393939393939,1.121212121212121,1.9393939393939394,8.757575757575758,1312611.0
218,2017.0,Jeremy Lamb,SG,24.0,CHO,62.0,5.0,18.43548387096774,17.0,0.55,0.297,0.263,2.9,22.7,12.7,11.3,1.2,1.8,6.8,23.2,,1.4,1.3,2.7,0.115,,-0.8,-0.8,-1.7,0.1,3.6451612903225805,7.919354838709677,0.46,0.6612903225806451,2.3548387096774195,0.281,2.9838709677419355,5.564516129032258,0.536,0.502,1.7741935483870968,2.0806451612903225,0.853,0.4838709677419355,3.774193548387097,4.258064516129032,1.2096774193548387,0.43548387096774194,0.3709677419354839,0.6451612903225806,1.5806451612903225,9.725806451612904,7000000.0
219,2017.0,Joffrey Lauvergne,PF-C,25.0,TOT,70.0,1.0,14.0,12.6,0.509,0.292,0.217,8.0,20.1,14.1,10.8,1.3,0.5,13.2,18.5,,0.4,1.1,1.5,0.075,,-2.3,-0.9,-3.2,-0.3,2.1142857142857143,4.8,0.44,0.4714285714285714,1.4,0.337,1.6428571428571428,3.4,0.483,0.49,0.6571428571428571,1.042857142857143,0.63,1.0285714285714285,2.557142857142857,3.585714285714286,1.0,0.35714285714285715,0.08571428571428572,0.8,1.1857142857142857,5.357142857142857,1524305.0
220,2017.0,Zach LaVine,SG,21.0,MIN,47.0,47.0,37.212765957446805,14.6,0.5760000000000001,0.43700000000000006,0.19699999999999998,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,,2.5,0.4,3.0,0.08199999999999999,,2.1,-2.4,-0.3,0.8,6.9361702127659575,15.106382978723405,0.45899999999999996,2.5531914893617023,6.595744680851064,0.387,4.382978723404255,8.51063829787234,0.515,0.544,2.4893617021276597,2.978723404255319,0.836,0.3829787234042553,3.0,3.382978723404255,2.9574468085106385,0.8723404255319149,0.2127659574468085,1.8085106382978724,2.2127659574468086,18.914893617021278,3202217.0
221,2017.0,Jake Layman,SF,22.0,POR,35.0,1.0,7.114285714285714,4.9,0.40399999999999997,0.573,0.191,2.7,8.0,5.3,6.2,1.8,1.0,10.2,19.0,,-0.4,0.1,-0.3,-0.054000000000000006,,-4.7,-2.7,-7.4,-0.3,0.7428571428571429,2.5428571428571427,0.292,0.37142857142857144,1.457142857142857,0.255,0.37142857142857144,1.0857142857142856,0.342,0.365,0.37142857142857144,0.4857142857142857,0.765,0.17142857142857143,0.5142857142857142,0.6857142857142857,0.3142857142857143,0.2571428571428571,0.08571428571428572,0.3142857142857143,0.6285714285714286,2.2285714285714286,1312611.0
222,2017.0,Courtney Lee,SG,31.0,NYK,77.0,74.0,31.935064935064936,12.1,0.5589999999999999,0.382,0.139,2.3,9.1,5.7,10.6,1.6,0.8,8.5,14.4,,3.1,1.1,4.2,0.081,,0.5,-0.7,-0.2,1.1,4.1688311688311686,9.142857142857142,0.456,1.4025974025974026,3.4935064935064934,0.401,2.7662337662337664,5.64935064935065,0.49,0.5329999999999999,1.103896103896104,1.2727272727272727,0.867,0.6883116883116883,2.688311688311688,3.3766233766233764,2.324675324675325,1.051948051948052,0.2987012987012987,0.8961038961038961,1.8311688311688312,10.844155844155845,11747890.0
